customer_id,name,region,signup_date,email,phone
C0001,Ashley Miller,North,2023-03-04,kristinnguyen@goodwin-ray.com,9112506769
C0002,Samantha King,South,2022-12-03,pattersonmatthew@pittman.net,9351345629
C0003,Caitlyn King,East,2023-12-27,raven07@yahoo.com,9974625662
C0004,Nicole Perry,West,2025-03-27,rtaylor@montes-lee.biz,9205861481
C0005,David Jackson,North,2023-04-09,nicholas47@yahoo.com,9869259364
C0006,Brandon Cooper,North,2023-06-26,rosspaula@cross.com,9891932555
C0007,Cynthia Mooney,West,2023-07-08,wscott@hotmail.com,9367152865
C0008,Johnny Neal,East,2025-06-24,,9700559359
C0009,Robert Lamb,West,2024-04-28,anthonyflores@strong.com,9711194079
C0010,Dana Davis,North,2024-04-01,,9942332995
C0011,,North,2023-01-01,mgraves@jones.com,9794623324
C0012,Carrie Barron,South,2023-09-09,brittany04@hotmail.com,9497768593
C0013,Allison Rojas,South,2024-07-23,johnsonmichael@hotmail.com,9558630348
C0014,Jose Proctor,North,2023-12-26,,9411360794
C0015,Juan Wagner,,2024-04-23,christopherhill@mendoza.com,9870447716
C0016,Amy Campbell,West,2025-04-08,carrrobert@gmail.com,9892360943
C0017,,North,2025-03-30,phillipstimothy@delgado.com,9124887752
C0018,Sean Martinez,South,2025-04-23,jonathan60@yahoo.com,9997558828
C0019,Timothy Johnson,South,2025-08-07,olsonluis@gmail.com,9645012264
C0020,Jeremy Cook,West,2025-01-19,emily84@hotmail.com,9797303296
C0021,,South,,xchandler@hotmail.com,9443541229
C0022,Jennifer Suarez,South,2023-08-05,rodriguezdavid@yahoo.com,9437092516
C0023,Jason Crawford,East,2025-01-23,drewmcguire@yahoo.com,9846907981
C0024,Michael Watkins,North,2022-11-21,michael98@drake.net,9791139876
C0025,Clayton Schwartz,North,2023-02-05,william31@gmail.com,9159638682
C0026,Zachary Ruiz,South,2023-07-15,rhonda34@heath.com,9296503495
C0027,Dan Bond,North,2023-09-28,patriciajohns@thomas.org,9447190589
C0028,Sara Love,South,,abigailadams@gmail.com,9568788029
C0029,William Davis,South,2023-09-09,matthew61@hotmail.com,
C0030,Stephen Henson,North,2023-04-03,kaitlyn48@yahoo.com,
C0031,Lisa Wagner,South,2024-11-17,emiller@yahoo.com,9971769087
C0032,Charles Gibson,East,2023-06-11,drew21@gmail.com,9828057619
C0033,James Phillips,East,2023-02-27,torrestyler@yahoo.com,9691000140
C0034,Monique Brown,North,2025-08-14,alexandria30@hotmail.com,9255897088
C0035,Sarah Gomez,South,2025-01-30,fletcherryan@yahoo.com,9927150254
C0036,Eric Castillo,South,2023-02-03,alyssa61@yahoo.com,9859393374
C0037,Michael Mccoy,North,2025-08-22,tcarlson@yahoo.com,9695376127
C0038,Craig Wright,West,2024-07-04,michael77@gmail.com,9704412946
C0039,Terri Dyer,South,2025-10-04,nicholaslawson@hotmail.com,9520904889
C0040,Anita Roberts,North,2025-10-12,annathornton@gmail.com,9700097818
C0041,Erin Fleming,West,2025-08-25,vmyers@bowman-ramirez.com,9337753780
C0042,George Branch,South,2025-05-23,pricesamantha@hamilton.com,9818089083
C0043,Jennifer Johnson,East,2025-05-06,vaughnapril@hodge-holmes.info,9828569527
C0044,Joe Thompson,West,2025-06-14,jasonbishop@moore.net,9220424941
C0045,Carla Lamb,South,2023-11-06,paul35@hotmail.com,9872615850
C0046,Nathan Kennedy,South,2023-10-31,lynnschultz@gmail.com,9198660104
C0047,Ryan Johnson,West,2023-06-23,,9835173247
C0048,Jessica Neal,North,2024-07-13,jorgekelley@hotmail.com,9203904794
C0049,Cheyenne Rose,North,2024-03-26,fsmith@hotmail.com,9447382749
C0050,Michael Wolfe,North,2022-12-24,daniel33@gmail.com,9389240276
C0051,Terry Delgado,West,2024-02-29,riverajason@gmail.com,9847036615
C0052,Chris Newman,East,2024-07-12,jeffreytaylor@krause-woods.net,9492451332
,Vincent Salinas,North,2025-11-01,,9433433267
C0054,Amanda Diaz,South,2023-03-12,anthonywhite@yahoo.com,9528263695
C0055,Kathleen Mccoy,East,2023-11-23,johnny09@hotmail.com,9318999531
C0056,Ricky Jones,North,2025-06-10,millerjamie@gmail.com,9142271545
C0057,Philip Chan,West,2023-09-04,,9400010021
C0058,Eric Golden,North,2023-01-27,dennis58@hotmail.com,9112461376
C0059,Taylor Lucero,South,2023-12-12,bfloyd@yahoo.com,9982720100
C0060,Alejandro Hill,West,2025-06-06,xperez@young.info,9709050793
C0061,Kathryn Moreno,West,2025-11-05,gwendolynvillarreal@martin-arnold.net,9345918358
C0062,,North,2024-09-07,melissamartinez@miller.com,9297148736
C0063,Megan Travis,,2024-07-21,loriholland@gmail.com,9243804501
C0064,Fernando Castro,South,2025-08-22,mpatel@brown-williams.com,
C0065,Kimberly Wolf,North,2024-09-07,adam56@vasquez.info,9591619833
C0066,Heather Dixon,,2024-08-12,kendrabrown@hotmail.com,9867160316
C0067,Natasha Patrick,East,2024-02-14,ashley45@edwards-barber.com,9987847341
C0068,Emma Brown,,2024-07-12,carrienguyen@travis-richardson.com,9690062323
C0069,Diana Johnson,South,2024-01-01,aguirrekyle@harris-williams.com,9129084556
C0070,Benjamin Garrison,North,2025-07-02,kellydavid@gmail.com,9731744116
C0071,Olivia Gomez,North,2025-10-21,thompsongina@hotmail.com,9353423714
C0072,Steve Gonzalez,South,2023-04-20,mariehorn@mendoza.biz,9152381789
C0073,Kevin Jones,South,2025-10-16,garygibson@jones-martinez.org,9463078205
C0074,Sara Boone,West,2023-09-10,martin29@wall-hays.com,9767156829
C0075,Scott Salinas,South,2023-08-10,hhancock@rice-jones.org,
C0076,Melissa Phillips,East,2023-01-02,ble@barrera-pierce.com,9566827312
C0077,Brian Gomez,East,2024-11-19,teresa21@gmail.com,9993145908
C0078,,North,2023-07-26,scott14@davis.com,9572663109
C0079,Xavier Nunez,South,,bwilson@gmail.com,9334332598
C0080,Thomas Jackson,North,2024-03-19,acostatracy@hotmail.com,9517477237
C0081,Brenda Pierce,East,,morganphillips@walker.com,9288515463
C0082,Mark Gutierrez,North,,padillatonya@jacobs.com,9832237783
C0083,Marilyn Green,East,2024-11-27,paulnewman@stewart.com,9509444650
C0084,Julia Henry,East,2023-03-06,kpatterson@gmail.com,9840709243
C0085,,West,2023-08-30,raymark@yahoo.com,
C0086,Alan Gonzalez,East,2025-02-19,michael16@mitchell.com,
C0087,Patrick Salinas,,2023-07-16,kennethmeadows@stevens.com,9698686825
C0088,Judith White,East,2023-03-11,sarah02@hawkins.org,9551259799
C0089,Terry Smith,North,2023-09-30,bradhill@howell.com,
C0090,David Kim,South,2025-10-20,jennifer67@hotmail.com,
,Roy Miller,East,2025-01-03,benjaminclay@gmail.com,9931120161
,Crystal Hoffman,North,2024-05-24,cory87@rice.com,9672556947
C0093,David Reid,East,2024-11-24,nancy76@yahoo.com,9133019411
C0094,Jane Coleman,North,2025-09-02,ramosrobert@fisher.net,9335518111
C0095,Jesse Fowler,North,2023-12-19,shane10@bowen.com,9726485967
C0096,Madison Rodriguez,East,2025-06-10,timothy71@yahoo.com,9230848067
C0097,,South,2024-06-22,brentadkins@gmail.com,9996012511
C0098,James English,,2025-03-01,michael19@yahoo.com,9164803795
C0099,Robert Jackson,East,2025-11-17,kirk16@yahoo.com,9244286948
C0100,Martin Cole,West,2023-05-31,bakercarla@green-barnett.com,9646230935
C0101,Tracy Adams,South,2025-07-25,mauricehenderson@hotmail.com,9329560618
C0102,Ruben Ware,East,2023-08-02,melissadawson@gmail.com,9906837496
C0103,Brittany Washington,North,2023-10-02,destinystevenson@yahoo.com,9954115972
C0104,Melissa Benton,East,2025-03-07,ltorres@hotmail.com,9608827329
